,City,Latitude,Longitude,Temperature (F),Max Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
0,Mar del Plata,-38.0023,-57.5575,52.88,53.62,65,100,4.61
1,Ushuaia,-54.8,-68.3,40.66,46.02,81,75,20.71
2,Hobyo,5.3505,48.5268,85.14,85.14,75,86,17.43
3,Punta Arenas,-53.15,-70.9167,48.22,48.31,53,40,20.71
4,Rikitea,-23.1203,-134.9692,77.16,77.16,73,100,11.32
5,Tuktoyaktuk,69.4541,-133.0374,37.4,37.4,75,40,9.22
6,Batagay-Alyta,67.8006,130.4114,12.97,12.97,95,100,8.12
7,Katakwi,1.8911,33.9661,67.75,67.75,90,79,2.17
8,Saint Paul Harbor,57.79,-152.4072,44.11,44.11,93,100,6.91
9,Keflavik,64.0049,-22.5624,45.03,45.03,81,100,16.11
10,Almaznyy,48.0448,40.045,45.05,45.05,63,7,6.42
11,Fort-Shevchenko,44.5086,50.263,57.85,57.85,56,99,23.78
12,Jamestown,42.097,-79.2353,50.9,52.52,83,100,10.36
13,Talara,-4.5772,-81.2719,83.16,83.16,54,0,10.36
14,Atuona,-9.8,-139.0333,79.3,79.3,81,100,18.05
15,Bluff,-46.6,168.3333,43.81,43.81,78,96,9.62
16,Naples,40.8333,14.25,59.67,61.75,75,20,3.44
17,Bredasdorp,-34.5322,20.0403,62.46,62.46,71,100,3.11
18,Asău,46.4333,26.4,48.96,51.28,73,12,2.33
19,Codrington,-38.2667,141.9667,55.45,55.45,71,73,11.3
20,Puerto Ayora,-0.7393,-90.3518,80.56,80.56,77,15,10.83
21,Cape Town,-33.9258,18.4232,65.07,68.27,55,0,4.61
22,Saint-Pierre,-21.3393,55.4781,74.46,74.88,76,5,5.75
23,Yeppoon,-23.1333,150.7333,65.98,65.98,85,83,12.95
24,Yellowknife,62.456,-114.3525,46.92,46.92,42,20,20.71
25,Carnarvon,-24.8667,113.6333,64.47,64.47,72,0,10.36
26,Airai,-8.9266,125.4092,59.54,59.54,82,96,2.59
27,Ahipara,-35.1667,173.1667,57.83,57.83,90,100,5.28
28,Sibolga,1.7427,98.7792,76.08,76.08,94,100,1.23
29,Xaçmaz,41.4635,48.806,56.28,56.28,70,100,13.35
30,Srednekolymsk,67.45,153.6833,30.88,30.88,90,100,5.14
31,Muros,42.7762,-9.0603,57.33,58.08,73,100,16.08
32,Coquimbo,-29.9533,-71.3436,62.33,62.33,67,0,13.8
33,Hong Kong,22.2855,114.1577,66.78,68.32,79,83,11.01
34,Ballarat,-37.5662,143.8496,47.3,47.3,90,6,5.46
35,Kapaa,22.0752,-159.319,74.28,75.52,90,75,17.27
36,Qaanaaq,77.484,-69.3632,16.21,16.21,74,60,1.43
37,Tasiilaq,65.6145,-37.6368,37.56,37.56,74,100,1.23
38,Sobolevo,54.4299,31.8996,45.39,45.39,82,30,4.0
39,Manta,-0.95,-80.7333,82.18,82.18,78,75,12.66
40,New Norfolk,-42.7826,147.0587,57.38,62.92,70,100,3.0
41,Daru,-9.0763,143.2092,79.11,79.11,82,23,10.94
42,Ponta do Sol,32.6667,-17.1,65.93,67.01,71,1,5.91
43,Albany,42.6001,-73.9662,50.43,53.64,86,81,9.93
44,Nanortalik,60.1432,-45.2371,34.59,34.59,99,100,3.98
45,Khatanga,71.9667,102.5,8.06,8.06,95,100,5.35
46,Kruisfontein,-34.0033,24.7314,62.31,62.31,55,41,4.12
47,Tocopilla,-22.092,-70.1979,67.41,67.41,62,15,5.73
48,Ende,-8.8432,121.6623,77.38,77.38,83,14,1.1
49,Maniitsoq,65.4167,-52.9,28.78,28.78,74,100,2.1
50,Marsabit,2.3284,37.9899,65.8,65.8,79,85,9.15
51,Avarua,-21.2078,-159.775,82.45,82.45,78,75,12.66
52,Butaritari,3.0707,172.7902,80.89,80.89,80,48,13.87
53,East London,-33.0153,27.9116,65.79,65.79,79,8,14.81
54,Meulaboh,4.1363,96.1285,75.61,75.61,96,100,3.18
55,Lakes Entrance,-37.8811,147.981,48.16,48.16,82,0,5.3
56,Sarkand,45.41,79.9186,67.78,67.78,46,91,6.35
57,Fortuna,40.5982,-124.1573,54.82,56.66,67,75,18.41
58,Samarai,-10.6167,150.6667,80.83,80.83,80,34,6.55
59,Clyde River,70.4692,-68.5914,12.43,12.43,79,0,10.36
60,Dikson,73.5069,80.5464,9.0,9.0,97,100,12.17
61,Geraldton,-28.7667,114.6,55.81,55.81,94,0,9.22
62,Port Alfred,-33.5906,26.891,64.18,64.18,89,2,1.01
63,Shadrinsk,56.0852,63.6335,41.2,41.2,60,11,9.17
64,Mahébourg,-20.4081,57.7,73.69,75.25,94,75,5.75
65,Kiryat Gat,31.61,34.7642,67.95,78.4,33,86,11.59
66,Lieksa,63.3167,30.0167,37.08,37.08,92,100,12.12
67,Busselton,-33.65,115.3333,59.85,59.85,73,100,9.84
68,Bethel,41.3712,-73.414,51.91,56.52,90,100,9.22
69,Bambous Virieux,-20.3428,57.7575,73.65,75.22,94,75,5.75
70,Hermanus,-34.4187,19.2345,68.0,68.0,43,100,5.73
71,Klaksvík,62.2266,-6.589,41.92,41.92,65,100,7.7
72,Muzhi,65.3667,64.6667,17.44,17.44,85,26,6.33
73,Vaini,-21.2,-175.2,75.36,75.36,88,75,10.36
74,Kisi,9.0833,3.85,79.86,79.86,67,28,10.2
75,Tongchuanshi,35.0806,109.0897,56.12,56.12,24,0,6.15
76,Pevek,69.7008,170.3133,9.9,9.9,94,100,4.85
77,Barrow,71.2906,-156.7887,17.62,17.62,79,100,10.36
78,Biggar,55.6167,-3.5167,47.84,51.3,86,100,5.59
79,Zhangjiakou,40.81,114.8794,57.79,57.79,39,67,2.95
80,Tibati,6.4667,12.6333,73.83,73.83,73,98,7.67
81,Hilo,19.7297,-155.09,72.19,82.27,95,100,4.0
82,Ilulissat,69.2167,-51.1,26.62,26.62,59,75,4.61
83,Kenora,49.8167,-94.4337,40.17,40.17,70,75,11.5
84,Grindavik,63.8424,-22.4338,45.07,45.07,81,100,16.11
85,Ha Tinh,18.3333,105.9,67.91,67.91,75,98,6.11
86,Broome,42.2506,-75.833,58.41,61.81,79,100,1.99
87,Ōhara,35.25,140.3833,53.22,53.22,82,100,11.21
89,Narsaq,60.9167,-46.05,44.82,44.82,96,100,3.62
90,Ust-Nera,64.5667,143.2,20.1,20.1,94,89,2.66
91,Vardø,70.3705,31.1107,31.98,31.98,80,75,25.32
92,Navsari,20.9524,72.9324,83.88,83.88,76,0,14.58
94,Namatanai,-3.6667,152.4333,79.47,79.47,81,98,1.57
95,Dingle,10.9995,122.6711,76.08,76.08,78,100,6.2
96,Qasigiannguit,68.8193,-51.1922,26.85,26.85,70,100,3.11
97,Nālūt,30.3333,10.85,70.68,70.68,24,100,6.58
98,Plouzané,48.3833,-4.6167,51.93,52.12,82,75,10.36
99,Castro,-24.7911,-50.0119,72.37,72.37,68,6,8.19
100,Olafsvik,64.8945,-23.7142,36.43,36.43,94,100,14.94
101,Vizinga,61.0749,50.1031,31.75,31.75,84,89,6.17
102,Kenai,60.5544,-151.2583,42.85,44.02,63,100,13.8
103,Chui,-33.6971,-53.4616,62.17,62.17,60,98,7.76
104,Hobart,-42.8794,147.3294,59.63,63.27,70,100,5.75
105,Bairiki Village,1.3292,172.9752,80.6,80.6,83,40,4.61
106,Tiksi,71.6872,128.8694,1.15,1.15,98,100,4.9
107,Ribeira Grande,38.5167,-28.7,64.8,64.8,77,75,9.22
108,Keti Bandar,24.1447,67.4497,81.48,81.48,88,0,18.48
109,Mehamn,71.0357,27.8492,28.31,28.31,75,100,15.82
110,Rafai,4.95,23.9167,70.59,70.59,93,100,3.11
111,Srīvardhan,18.0333,73.0167,82.04,82.04,84,25,2.53
112,Esperance,-33.8667,121.9,58.84,58.84,65,90,17.0
114,San Patricio,28.017,-97.5169,84.92,87.75,54,29,22.88
115,Mossamedes,-15.1961,12.1522,73.44,73.44,77,91,3.02
116,Mujiayingzi,42.1167,118.7833,56.75,56.75,42,83,13.02
117,Kalmunai,7.4167,81.8167,81.72,81.72,76,100,1.21
118,Kavaratti,10.5669,72.642,84.87,84.87,70,39,12.48
119,Hithadhoo,-0.6,73.0833,85.24,85.24,74,92,17.29
120,Udachny,66.4167,112.4,12.2,12.2,97,20,3.36
121,Port Elizabeth,-33.918,25.5701,65.32,65.32,92,47,3.0
122,Kargasok,59.0556,80.8572,30.81,30.81,83,86,3.15
123,Richards Bay,-28.783,32.0377,64.9,64.9,89,12,2.86
124,Pochutla,15.7432,-96.4661,91.81,91.81,41,100,9.46
125,Angoche,-16.2325,39.9086,74.64,74.64,84,16,12.66
126,Saint-Leu,-21.15,55.2833,73.53,74.26,79,8,8.14
127,Divnomorskoye,44.5011,38.1353,48.72,48.72,90,100,10.89
128,Mataura,-46.1927,168.8643,43.48,43.48,80,100,3.0
129,Waingapu,-9.6567,120.2641,78.26,78.26,86,56,9.26
130,Kibondo,-3.5864,30.7203,60.44,60.44,97,91,2.06
131,Petropavlovsk-Kamchatskiy,53.0452,158.6483,28.99,28.99,74,0,8.95
132,Yicheng,31.3705,119.8703,62.26,62.26,64,100,3.71
134,Luanda,-8.8368,13.2343,78.8,78.8,83,20,6.91
135,Sørland,67.667,12.6934,33.66,33.66,57,100,28.3
136,Nizhniy Kuranakh,58.8353,125.4869,20.21,20.21,88,96,2.55
137,Saint-Philippe,-21.3585,55.7679,74.53,74.79,81,13,6.78
138,Katsuura,35.1333,140.3,53.56,53.56,82,100,11.07
139,Shubarshi,48.5872,57.1869,52.9,52.9,51,90,15.61
140,Ayan,56.45,138.1667,28.35,28.35,98,100,5.77
142,Port Blair,11.6667,92.75,80.64,80.64,89,40,2.3
143,Kieta,-6.2167,155.6333,78.48,78.48,84,1,1.7
144,Padang,-0.9492,100.3543,77.49,77.49,89,100,5.97
145,Alburikent,42.9733,47.4724,56.59,56.73,71,100,7.34
146,Husavik,66.0449,-17.3389,36.75,36.75,63,99,4.65
147,Nikolskoye,59.7035,30.7861,50.09,50.81,57,100,11.56
148,Vila Franca do Campo,37.7167,-25.4333,63.01,63.01,81,77,5.57
149,Phan Thiet,10.9333,108.1,78.51,78.51,87,100,4.9
150,Necochea,-38.5473,-58.7368,53.46,53.46,55,85,5.84
151,San Luis,-33.295,-66.3356,66.81,66.81,31,74,4.45
152,Porosozero,62.7191,32.727,38.66,38.66,89,100,15.84
153,Laguna,38.421,-121.4238,70.39,72.43,46,0,11.5
154,George Town,5.4112,100.3354,80.53,80.53,89,20,3.44
155,Russell,32.3502,-85.1999,83.82,85.96,55,20,4.61
156,Dicabisagan,17.0818,122.4157,78.4,78.4,85,100,4.74
157,Rantepao,-2.9701,119.8978,65.66,65.66,97,96,2.46
158,Peniche,39.3558,-9.3811,57.63,59.29,79,6,21.41
159,Ketchikan,55.3422,-131.6461,45.07,46.38,93,100,3.44
160,Mingyue,43.1069,128.9217,42.44,42.44,71,100,8.39
161,Lingao,19.9103,109.6859,68.86,68.86,87,100,8.16
162,Saint George,37.1041,-113.5841,75.61,76.62,22,0,8.05
164,Kaitangata,-46.2817,169.8464,48.92,48.92,82,92,3.91
165,Bud,39.447,-86.1758,68.25,71.67,51,100,6.78
166,Vestmannaeyjar,63.4427,-20.2734,42.33,42.33,85,100,27.29
167,Vila Velha,-20.3297,-40.2925,83.95,87.75,72,20,16.11
168,Cherskiy,68.75,161.3,30.22,30.22,87,100,1.36
169,Bandarbeyla,9.4942,50.8122,84.97,84.97,79,99,14.38
170,Ust-Maya,60.4167,134.5333,26.92,26.92,95,100,6.49
171,Mazagão,-0.115,-51.2894,87.85,87.85,88,72,2.75
172,Karaton,-6.3424,106.1045,74.35,74.35,92,100,1.28
173,Henties Bay,-22.116,14.2845,66.79,66.79,65,0,9.13
174,Mahibadhoo,3.7833,72.9667,85.19,85.19,75,100,18.45
175,Illapel,-31.6308,-71.1653,74.8,74.8,32,0,5.7
176,Mount Gambier,-37.8333,140.7667,51.71,51.71,93,90,10.36
177,Port Lincoln,-34.7333,135.8667,57.69,57.69,78,4,10.63
178,Kédougou,12.5579,-12.1743,91.94,91.94,39,95,7.05
179,San Rafael del Sur,11.8485,-86.4384,94.17,94.17,53,97,6.42
180,Beringovskiy,63.05,179.3167,14.22,14.22,76,100,4.14
181,Tuatapere,-46.1333,167.6833,49.68,49.68,85,7,5.82
182,La Ronge,55.1001,-105.2842,35.85,35.85,75,100,11.5
183,Lebu,-37.6167,-73.65,55.98,55.98,75,3,15.84
184,Jalu,29.0331,21.5482,65.84,65.84,67,0,25.5
185,Praia da Vitória,38.7333,-27.0667,64.65,64.76,77,75,7.07
186,Dzilam González,21.2833,-88.9333,95.22,95.22,37,1,5.86
187,Diego de Almagro,-26.3667,-70.05,73.53,73.53,22,0,12.17
188,Ambulu,-8.345,113.6058,76.64,76.64,91,99,3.11
189,Avera,33.194,-82.5271,85.57,86.56,43,92,6.35
190,Alta Floresta,-9.8756,-56.0861,94.82,94.82,46,40,3.44
191,Porto Seguro,-16.4497,-39.0647,82.92,82.92,69,20,11.5
192,Ola,59.5833,151.2833,28.15,28.15,90,33,3.2
194,Salalah,17.0151,54.0924,86.09,86.09,84,75,6.91
195,Loukhi,66.0764,33.0381,33.85,33.85,99,100,7.02
196,Vágur,61.4732,-6.8119,39.33,39.33,65,100,8.05
197,Isangel,-19.55,169.2667,78.82,78.82,88,9,9.42
198,Yangi Marg`ilon,40.4272,71.7189,79.52,79.52,34,100,4.61
199,Excelsior Springs,39.3392,-94.2261,52.97,55.58,72,100,6.91
200,Longyearbyen,78.2186,15.6401,12.04,12.04,62,40,8.05
201,Hope,33.6671,-93.5916,82.45,82.45,87,100,10.96
202,Koronowo,53.3137,17.937,56.3,56.3,51,77,8.25
203,Singuilucan,19.9667,-98.5167,74.32,74.32,28,57,4.21
204,Angoram,-4.0625,144.0661,74.71,74.71,99,95,1.14
205,Mizhou,35.9947,119.3975,51.51,51.51,63,0,6.33
206,Kibala,9.1104,18.3463,93.42,93.42,29,76,6.98
207,Coyhaique,-45.5752,-72.0662,51.75,51.75,50,75,10.36
208,Norman Wells,65.282,-126.8329,55.44,55.44,38,20,19.57
209,Sa Kaeo,13.75,102.3333,71.69,71.69,75,100,8.08
210,Nouadhibou,20.931,-17.0347,65.68,65.68,84,5,22.44
211,Taltal,-25.4,-70.4833,63.64,63.64,73,28,7.65
212,Port Hardy,50.6996,-127.4199,51.98,51.98,76,75,13.8
213,Arcos,-20.2819,-45.5394,80.76,80.76,42,2,2.95
214,Longyan,25.1072,117.0225,54.63,54.63,96,10,4.0
215,Makakilo City,21.3469,-158.0858,73.6,75.52,76,75,16.11
216,Traverse City,44.7631,-85.6206,48.61,50.72,80,100,5.75
217,Rakitnoye,50.8389,35.8515,48.42,48.42,61,7,5.19
218,Birao,10.2849,22.7882,91.56,91.56,27,4,3.36
219,Morehead,37.2711,-87.1764,77.38,77.99,38,0,3.44
220,Touros,-5.1989,-35.4608,81.41,81.41,82,34,14.27
221,Pangnirtung,66.1451,-65.7125,24.8,24.8,74,100,9.22
222,Dubăsari,47.2631,29.1608,55.51,56.3,61,35,6.64
223,Bengkulu,-3.8004,102.2655,76.98,76.98,90,100,4.65
224,Andenes,69.3143,16.1194,30.18,30.18,86,40,24.16
225,Ancud,-41.8697,-73.8203,51.35,51.35,73,78,4.43
226,Cairns,-16.9167,145.7667,72.73,73.35,94,75,4.61
227,Dāmghān,36.1683,54.348,58.53,58.53,64,89,4.59
228,Saint Anthony,45.0205,-93.218,46.53,49.1,64,100,8.05
229,Makarov,48.6333,142.8,33.08,33.08,99,100,14.32
230,Mount Isa,-20.7333,139.5,69.57,69.57,68,1,6.91
231,Les Cayes,18.2,-73.75,83.93,83.93,60,26,12.41
232,Borogontsy,62.6683,131.1683,21.51,21.51,92,100,5.93
233,Oranjemund,-28.55,16.4333,64.18,64.18,53,100,5.21
234,Salé,34.0389,-6.8166,63.28,63.28,77,40,6.91
235,Urgut,39.4022,67.2431,62.22,62.22,77,100,3.91
236,Ligayan,4.6533,119.4706,83.44,83.44,76,74,6.98
237,Palana,59.1167,159.9667,27.82,27.82,90,98,8.99
238,Nema,57.5067,50.5011,37.42,37.42,87,61,5.46
239,Tagusao,9.1924,117.8141,79.38,79.38,82,100,2.86
240,Trat,12.5,102.5,76.87,76.87,92,100,6.78
241,Qingdao,36.0986,120.3719,53.2,53.2,76,0,8.95
242,Ulaanbaatar,47.9077,106.8832,53.11,53.11,22,5,3.85
243,Rāmgarh,23.6333,85.5167,82.45,82.45,63,0,7.87
244,Lensk,60.7253,114.9278,13.51,13.51,94,15,3.56
245,Kavieng,-2.5744,150.7967,82.4,82.4,77,61,6.87
246,Te Anau,-45.4167,167.7167,45.55,45.55,84,16,1.07
247,Sitka,57.0531,-135.33,46.29,46.29,66,75,3.44
248,Severo-Kuril'sk,50.6789,156.125,33.48,33.48,86,100,4.68
249,Pingliang,35.5392,106.6861,51.15,51.15,37,0,6.31
250,Ochakiv,46.6128,31.5498,55.92,55.92,60,76,3.06
251,Santa Maria,-29.6842,-53.8069,56.5,56.5,41,75,9.22
252,Luang Prabang,19.8856,102.1347,67.93,67.93,83,46,2.82
253,Maumere,-8.6199,122.2111,79.83,79.83,71,58,2.73
254,Trairi,-3.2778,-39.2689,79.92,79.92,90,99,8.41
255,Acajutla,13.5928,-89.8275,88.7,88.7,60,100,10.47
256,Hamilton,39.1834,-84.5333,72.68,74.77,42,0,12.66
257,Salinópolis,-0.6136,-47.3561,80.74,80.74,85,94,7.87
258,Evanston,42.0411,-87.6901,51.84,53.82,68,100,8.05
259,Narón,43.5167,-8.1528,56.16,57.04,79,100,11.9
260,Saskylakh,71.9167,114.0833,3.29,3.29,95,32,7.63
261,Verkh-Usugli,52.7,115.1667,38.21,38.21,38,100,2.55
262,Alofi,-19.0595,-169.9187,80.49,80.49,89,75,10.36
263,Timbiquí,2.7717,-77.6654,83.82,83.82,70,100,6.62
264,Leningradskiy,69.3833,178.4167,9.99,9.99,89,100,4.59
265,Contamana,-7.3333,-75.0167,96.71,96.71,34,67,3.09
266,Nantucket,41.2835,-70.0995,51.91,53.74,76,100,16.11
